지역명	LAT	LON	총인구수	남자인구수	여자인구수	세대수
서울특별시  	37.5651	126.98955	9766288	4772822	4993466	4271551
부산광역시  	35.162766	129.044678	3438259	1690527	1747732	1481315
대구광역시  	35.87975	128.5667	2460382	1218478	1241904	1022727
인천광역시  	37.456223	126.705173	2955916	1482441	1473475	1216126
광주광역시  	35.160077	126.851467	1459832	722902	736930	604691
대전광역시  	36.3731	127.3888	1488725	743851	744874	626103
울산광역시  	35.538735	129.31138	1154786	593436	561350	462218
세종특별자치시	36.480862	127.290757	316814	158090	158724	124840
경기도  	37.421845	127.529308	13090648	6584729	6505919	5320873
강원도  	37.8665202	128.2039048	1541693	775683	766010	707665
충청북도  	36.6374037	127.49137	1599155	809020	790135	708227
충청남도  	36.5212735	126.7988864	2125797	1081976	1043821	945151
전라북도  	35.821001	127.11138	1834532	912117	922415	806761
전라남도  	34.816206	126.462924	1878904	941188	937716	860049
경상북도  	36.3565811	128.6892794	2674005	1345392	1328613	1208140
경상남도  	35.2210614	128.3910462	3373214	1697053	1676161	1427348
제주특별자치도  	33.489013	126.49834	667337	335813	331524	287576
