,from,to,from_kor,to_kor
0,0,1,태조,신혜왕후유씨_태조1
1,0,2,태조,유천궁
2,1,2,신혜왕후유씨_태조1,유천궁
3,0,3,태조,정덕왕후유씨_태조6
4,0,4,태조,유덕영
5,3,4,정덕왕후유씨_태조6,유덕영
6,0,5,태조,장화왕후오씨_태조2
7,0,6,태조,오다련
8,0,7,태조,오부돈
9,0,8,태조,연덕교
10,5,6,장화왕후오씨_태조2,오다련
11,5,7,장화왕후오씨_태조2,오부돈
12,5,8,장화왕후오씨_태조2,연덕교
13,6,7,오다련,오부돈
14,6,8,오다련,연덕교
15,7,8,오부돈,연덕교
16,0,9,태조,신명순성왕태후유씨_태조3
17,0,10,태조,유긍달
18,9,10,신명순성왕태후유씨_태조3,유긍달
19,0,11,태조,신정왕태후황보씨_태조4
20,0,12,태조,황보제공
21,11,12,신정왕태후황보씨_태조4,황보제공
22,0,13,태조,신성왕태후김씨_태조5
23,0,14,태조,김억렴
24,0,15,태조,김인경
25,13,14,신성왕태후김씨_태조5,김억렴
26,13,15,신성왕태후김씨_태조5,김인경
27,14,15,김억렴,김인경
28,0,16,태조,헌목대부인평씨_태조7
29,0,17,태조,평준
30,16,17,헌목대부인평씨_태조7,평준
31,0,18,태조,정목부인왕씨_태조8
32,0,19,태조,왕경(김수원)
33,18,19,정목부인왕씨_태조8,왕경(김수원)
34,0,20,태조,동양원부인유씨_태조9
35,0,21,태조,유금필
36,20,21,동양원부인유씨_태조9,유금필
37,0,22,태조,숙목부인임씨_태조10
38,0,23,태조,임명필
39,22,23,숙목부인임씨_태조10,임명필
40,0,24,태조,천안부원부인임씨_태조11
41,0,25,태조,임언
42,24,25,천안부원부인임씨_태조11,임언
43,0,26,태조,흥복원부인홍씨_태조12
44,0,27,태조,홍규
45,26,27,흥복원부인홍씨_태조12,홍규
46,0,28,태조,후대량원부인이씨_태조13
47,0,29,태조,이원
48,28,29,후대량원부인이씨_태조13,이원
49,0,30,태조,대명주원부인왕씨_태조14
50,0,31,태조,왕예
51,30,31,대명주원부인왕씨_태조14,왕예
52,0,32,태조,광주원부인왕씨_태조15
53,0,33,태조,왕규
54,32,33,광주원부인왕씨_태조15,왕규
55,0,34,태조,소광주원부인왕씨_태조16
56,34,33,소광주원부인왕씨_태조16,왕규
57,0,35,태조,동산원부인박씨_태조17
58,0,36,태조,박영규
59,35,36,동산원부인박씨_태조17,박영규
60,0,37,태조,예화부인왕씨_태조18
61,0,38,태조,왕유(박유)
62,37,38,예화부인왕씨_태조18,왕유(박유)
63,0,39,태조,대서원부인김씨_태조19
64,0,40,태조,김행파
65,39,40,대서원부인김씨_태조19,김행파
66,0,41,태조,소서원부인김씨_태조20
67,41,40,소서원부인김씨_태조20,김행파
68,0,42,태조,서전원부인x씨_태조21
69,0,43,태조,신주원부인강씨_태조22
70,0,44,태조,강기주
71,43,44,신주원부인강씨_태조22,강기주
72,0,45,태조,월화원부인x씨_태조23
73,0,46,태조,영장
74,45,46,월화원부인x씨_태조23,영장
75,0,47,태조,소황주원부인x씨_태조24
76,0,48,태조,순행
77,47,48,소황주원부인x씨_태조24,순행
78,0,49,태조,성무부인박씨_태조25
79,0,50,태조,박지윤
80,0,51,태조,박직윤
81,49,50,성무부인박씨_태조25,박지윤
82,49,51,성무부인박씨_태조25,박직윤
83,50,51,박지윤,박직윤
84,0,52,태조,의성부원부인홍씨_태조26
85,0,53,태조,홍유
86,0,54,태조,홍x
87,52,53,의성부원부인홍씨_태조26,홍유
88,52,54,의성부원부인홍씨_태조26,홍x
89,53,54,홍유,홍x
90,0,55,태조,월경원부인박씨_태조27
91,0,56,태조,박수문
92,55,56,월경원부인박씨_태조27,박수문
93,55,50,월경원부인박씨_태조27,박지윤
94,56,50,박수문,박지윤
95,0,57,태조,몽량원부인박씨_태조28
96,0,58,태조,박수경
97,57,58,몽량원부인박씨_태조28,박수경
98,57,50,몽량원부인박씨_태조28,박지윤
99,58,50,박수경,박지윤
100,0,59,태조,해량원부인x씨_태조29
101,0,60,태조,선필
102,59,60,해량원부인x씨_태조29,선필
