,id,label,group,city
0,0,태조,0,개경
1,1,신혜왕후유씨_태조1,1,정주
2,2,유천궁,1,정주
3,3,정덕왕후유씨_태조6,1,정주
4,4,유덕영,1,정주
5,5,장화왕후오씨_태조2,2,나주
6,6,오다련,2,나주
7,7,오부돈,2,나주
8,8,연덕교,2,나주
9,9,신명순성왕태후유씨_태조3,3,충주
10,10,유긍달,3,충주
11,11,신정왕태후황보씨_태조4,4,황주
12,12,황보제공,4,황주
13,13,신성왕태후김씨_태조5,5,경주
14,14,김억렴,5,경주
15,15,김인경,5,경주
16,16,헌목대부인평씨_태조7,5,경주
17,17,평준,5,경주
18,18,정목부인왕씨_태조8,6,명주
19,19,왕경(김수원),6,명주
20,20,동양원부인유씨_태조9,7,평주
21,21,유금필,7,평주
22,22,숙목부인임씨_태조10,8,진주
23,23,임명필,8,진주
24,24,천안부원부인임씨_태조11,5,경주
25,25,임언,5,경주
26,26,흥복원부인홍씨_태조12,9,홍주
27,27,홍규,9,홍주
28,28,후대량원부인이씨_태조13,10,합주
29,29,이원,10,합주
30,30,대명주원부인왕씨_태조14,6,명주
31,31,왕예,6,명주
32,32,광주원부인왕씨_태조15,11,광주
33,33,왕규,11,광주
34,34,소광주원부인왕씨_태조16,11,광주
35,35,동산원부인박씨_태조17,12,승주
36,36,박영규,12,승주
37,37,예화부인왕씨_태조18,13,춘주
38,38,왕유(박유),13,춘주
39,39,대서원부인김씨_태조19,14,동주
40,40,김행파,14,동주
41,41,소서원부인김씨_태조20,14,동주
42,42,서전원부인x씨_태조21,15,불명
43,43,신주원부인강씨_태조22,16,신주
44,44,강기주,16,신주
45,45,월화원부인x씨_태조23,15,불명
46,46,영장,15,불명
47,47,소황주원부인x씨_태조24,4,황주
48,48,순행,4,황주
49,49,성무부인박씨_태조25,7,평주
50,50,박지윤,7,평주
51,51,박직윤,7,평주
52,52,의성부원부인홍씨_태조26,17,의성
53,53,홍유,17,의성
54,54,홍x,17,의성
55,55,월경원부인박씨_태조27,7,평주
56,56,박수문,7,평주
57,57,몽량원부인박씨_태조28,7,평주
58,58,박수경,7,평주
59,59,해량원부인x씨_태조29,18,해평
60,60,선필,18,해평
